,full_name,title,guessed_gender,orcid_id,scholar_id,scopus_id,full_initials,single_initials,partial_initials,only_first,h-index_scopus,h-index_scholar
254,J. Mortensen,,male,,,,J. Mortensen,J. Mortensen,J. Mortensen,J. Mortensen,,
255,S. Rysgaard,,male,,,,S. Rysgaard,S. Rysgaard,S. Rysgaard,S. Rysgaard,,
256,K. H. Svendsen,,male,,,,K. H. Svendsen,K. Svendsen,K. H. Svendsen,K. Svendsen,,
257,G. Adalgeirsdóttir,,female,,,,G. Adalgeirsdóttir,G. Adalgeirsdóttir,G. Adalgeirsdóttir,G. Adalgeirsdóttir,,
258,John P. Merryman Boncori,,male,,,,J. P. M. Boncori,J. Boncori,John P. M. Boncori,John Boncori,,
259,René Forsberg,,male,,,,R. Forsberg,R. Forsberg,René Forsberg,René Forsberg,,
260,Morten Langer Andersen,,male,,,,M. L. Andersen,M. Andersen,Morten L. Andersen,Morten Andersen,,
261,Jan H. Van Angelen,,male,,,,J. H. V. Angelen,J. Angelen,Jan H. V. Angelen,Jan Angelen,,
262,Jan T.M. Lenaerts,,male,,,,J. T. Lenaerts,J. Lenaerts,Jan T. Lenaerts,Jan Lenaerts,,
263,James M. Lea,,male,,,,J. M. Lea,J. Lea,James M. Lea,James Lea,,
264,F. M. Nick,,female,,,,F. M. Nick,F. Nick,F. M. Nick,F. Nick,,
265,C. H. Reijmer,,male,,,,C. H. Reijmer,C. Reijmer,C. H. Reijmer,C. Reijmer,,
266,R. S.W. Van De Wal,,male,,,,R. S. V. D. Wal,R. Wal,R. S. V. D. Wal,R. Wal,,
267,J. P. Merryman Boncori,,male,,,,J. P. M. Boncori,J. Boncori,J. P. M. Boncori,J. Boncori,,
268,D. Van As,,male,,,,D. V. As,D. As,D. V. As,D. As,,
269,Alison F. Banwell,,female,,,,A. F. Banwell,A. Banwell,Alison F. Banwell,Alison Banwell,,
270,Ian C. Willis,,male,,,,I. C. Willis,I. Willis,Ian C. Willis,Ian Willis,,
271,Neil S. Arnold,,male,,,,N. S. Arnold,N. Arnold,Neil S. Arnold,Neil Arnold,,
272,Alexandra Messerli,,female,,,,A. Messerli,A. Messerli,Alexandra Messerli,Alexandra Messerli,,
273,Cameron J. Rye,,male,,,,C. J. Rye,C. Rye,Cameron J. Rye,Cameron Rye,,
274,Marco Tedesco,,male,,,,M. Tedesco,M. Tedesco,Marco Tedesco,Marco Tedesco,,
275,Robert Fausto,,male,,,,R. Fausto,R. Fausto,Robert Fausto,Robert Fausto,,
276,Niels Knudsen,,male,,,,N. Knudsen,N. Knudsen,Niels Knudsen,Niels Knudsen,,
277,J. S. Kargel,,male,,,,J. S. Kargel,J. Kargel,J. S. Kargel,J. Kargel,,
278,R. B. Alley,,male,,,,R. B. Alley,R. Alley,R. B. Alley,R. Alley,,
279,J. L. Bamber,,male,,,,J. L. Bamber,J. Bamber,J. L. Bamber,J. Bamber,,
280,T. J. Benham,,male,,,,T. J. Benham,T. Benham,T. J. Benham,T. Benham,,
281,C. Chen,,male,,,,C. Chen,C. Chen,C. Chen,C. Chen,,
282,P. Christoffersen,,male,,,,P. Christoffersen,P. Christoffersen,P. Christoffersen,P. Christoffersen,,
283,J. G. Cogley,,male,,,,J. G. Cogley,J. Cogley,J. G. Cogley,J. Cogley,,
284,H. Jiskoot,,male,,,,H. Jiskoot,H. Jiskoot,H. Jiskoot,H. Jiskoot,,
285,G. J. Leonard,,male,,,,G. J. Leonard,G. Leonard,G. J. Leonard,G. Leonard,,
286,P. Morin,,male,,,,P. Morin,P. Morin,P. Morin,P. Morin,,
287,T. Sheldon,,male,,,,T. Sheldon,T. Sheldon,T. Sheldon,T. Sheldon,,
288,Soren Nielsen,,male,,,,S. Nielsen,S. Nielsen,Soren Nielsen,Soren Nielsen,,
289,Fiammetta Straneo,,female,,,,F. Straneo,F. Straneo,Fiammetta Straneo,Fiammetta Straneo,,
290,Mads Hvid Ribergaard,,male,,,,M. H. Ribergaard,M. Ribergaard,Mads H. Ribergaard,Mads Ribergaard,,
291,Thorbjørn J. Andersen,,male,,,,T. J. Andersen,T. Andersen,Thorbjørn J. Andersen,Thorbjørn Andersen,,
292,Antoon Kuijpers,,male,,,,A. Kuijpers,A. Kuijpers,Antoon Kuijpers,Antoon Kuijpers,,
293,Niels Nørgaard-Pedersen,,male,,,,N. Nørgaard-Pedersen,N. Nørgaard-Pedersen,Niels Nørgaard-Pedersen,Niels Nørgaard-Pedersen,,
294,Kurt H. Kjær,,male,,,,K. H. Kjær,K. Kjær,Kurt H. Kjær,Kurt Kjær,,
295,Frands Schjøth,,male,,,,F. Schjøth,F. Schjøth,Frands Schjøth,Frands Schjøth,,
296,Kaarina Weckström,,female,,,,K. Weckström,K. Weckström,Kaarina Weckström,Kaarina Weckström,,
297,Christine Achberger,,female,,,,C. Achberger,C. Achberger,Christine Achberger,Christine Achberger,,
298,Steven A. Ackerman,,male,,,,S. A. Ackerman,S. Ackerman,Steven A. Ackerman,Steven Ackerman,,
299,Eric J. Alfaro,,male,,,,E. J. Alfaro,E. Alfaro,Eric J. Alfaro,Eric Alfaro,,
300,Robert J. Allan,,male,,,,R. J. Allan,R. Allan,Robert J. Allan,Robert Allan,,
301,Lincoln Alves,,male,,,,L. Alves,L. Alves,Lincoln Alves,Lincoln Alves,,
302,Jorge A. Amador,,male,,,,J. A. Amador,J. Amador,Jorge A. Amador,Jorge Amador,,
303,Vincent Amelie,,male,,,,V. Amelie,V. Amelie,Vincent Amelie,Vincent Amelie,,
304,Solonomenjanahary Andrianjafinirina,,male,,,,S. Andrianjafinirina,S. Andrianjafinirina,Solonomenjanahary Andrianjafinirina,Solonomenjanahary Andrianjafinirina,,
305,John Antonov,,male,,,,J. Antonov,J. Antonov,John Antonov,John Antonov,,
306,Derek S. Arndt,,male,,,,D. S. Arndt,D. Arndt,Derek S. Arndt,Derek Arndt,,
307,Igor Ashik,,male,,,,I. Ashik,I. Ashik,Igor Ashik,Igor Ashik,,
308,Zachary Atheru,,male,,,,Z. Atheru,Z. Atheru,Zachary Atheru,Zachary Atheru,,
309,Samar M. Attaher,,female,,,,S. M. Attaher,S. Attaher,Samar M. Attaher,Samar Attaher,,
310,Julian Baez,,male,,,,J. Baez,J. Baez,Julian Baez,Julian Baez,,
311,Viva Banzon,,female,,,,V. Banzon,V. Banzon,Viva Banzon,Viva Banzon,,
312,Molly O. Baringer,,female,,,,M. O. Baringer,M. Baringer,Molly O. Baringer,Molly Baringer,,
313,Sandra Barreira,,female,,,,S. Barreira,S. Barreira,Sandra Barreira,Sandra Barreira,,
314,David Barriopedro,,male,,,,D. Barriopedro,D. Barriopedro,David Barriopedro,David Barriopedro,,
315,Pawan K. Barthia,,male,,,,P. K. Barthia,P. Barthia,Pawan K. Barthia,Pawan Barthia,,
316,Lisa M. Beal,,female,,,,L. M. Beal,L. Beal,Lisa M. Beal,Lisa Beal,,
317,Andreas Becker,,male,,,,A. Becker,A. Becker,Andreas Becker,Andreas Becker,,
318,Michael J. Behrenfeld,,male,,,,M. J. Behrenfeld,M. Behrenfeld,Michael J. Behrenfeld,Michael Behrenfeld,,
319,Gerald D. Bell,,male,,,,G. D. Bell,G. Bell,Gerald D. Bell,Gerald Bell,,
320,Alan S. Belward,,male,,,,A. S. Belward,A. Belward,Alan S. Belward,Alan Belward,,
321,Angela Benedetti,,female,,,,A. Benedetti,A. Benedetti,Angela Benedetti,Angela Benedetti,,
322,Paul Berrisford,,male,,,,P. Berrisford,P. Berrisford,Paul Berrisford,Paul Berrisford,,
323,David I. Berry,,male,,,,D. I. Berry,D. Berry,David I. Berry,David Berry,,
324,Agnieszka Beszczynska-Moeller,,female,,,,A. Beszczynska-Moeller,A. Beszczynska-Moeller,Agnieszka Beszczynska-Moeller,Agnieszka Beszczynska-Moeller,,
325,Uma S. Bhatt,,female,,,,U. S. Bhatt,U. Bhatt,Uma S. Bhatt,Uma Bhatt,,
326,Mario Bidegain,,male,,,,M. Bidegain,M. Bidegain,Mario Bidegain,Mario Bidegain,,
327,Nathaniel L. Bindoff,,male,,,,N. L. Bindoff,N. Bindoff,Nathaniel L. Bindoff,Nathaniel Bindoff,,
328,Peter Bissolli,,male,,,,P. Bissolli,P. Bissolli,Peter Bissolli,Peter Bissolli,,
329,Eric S. Blake,,male,,,,E. S. Blake,E. Blake,Eric S. Blake,Eric Blake,,
330,Jessica Blunden,,female,,,,J. Blunden,J. Blunden,Jessica Blunden,Jessica Blunden,,
331,Prithiviraj Booneeady,,male,,,,P. Booneeady,P. Booneeady,Prithiviraj Booneeady,Prithiviraj Booneeady,,
332,Michael G. Bosilovich,,male,,,,M. G. Bosilovich,M. Bosilovich,Michael G. Bosilovich,Michael Bosilovich,,
333,Dagne R. Boudet,,male,,,,D. R. Boudet,D. Boudet,Dagne R. Boudet,Dagne Boudet,,
334,Timothy P. Boyer,,male,,,,T. P. Boyer,T. Boyer,Timothy P. Boyer,Timothy Boyer,,
335,David H. Bromwich,,male,,,,D. H. Bromwich,D. Bromwich,David H. Bromwich,David Bromwich,,
336,Ross Brown,,male,,,,R. Brown,R. Brown,Ross Brown,Ross Brown,,
337,Harry L. Bryden,,male,,,,H. L. Bryden,H. Bryden,Harry L. Bryden,Harry Bryden,,
338,Olga N. Bulygina,,female,,,,O. N. Bulygina,O. Bulygina,Olga N. Bulygina,Olga Bulygina,,
339,John Burrows,,male,,,,J. Burrows,J. Burrows,John Burrows,John Burrows,,
340,J. Butler,,male,,,,J. Butler,J. Butler,J. Butler,J. Butler,,
341,Philippe Cais,,male,,,,P. Cais,P. Cais,Philippe Cais,Philippe Cais,,
342,Blanca Calderon,,female,,,,B. Calderon,B. Calderon,Blanca Calderon,Blanca Calderon,,
343,T. V. Callaghan,,male,,,,T. V. Callaghan,T. Callaghan,T. V. Callaghan,T. Callaghan,,
344,Suzana J. Camargo,,female,,,,S. J. Camargo,S. Camargo,Suzana J. Camargo,Suzana Camargo,,
345,Eddy Carmack,,male,,,,E. Carmack,E. Carmack,Eddy Carmack,Eddy Carmack,,
346,Don P. Chambers,,male,,,,D. P. Chambers,D. Chambers,Don P. Chambers,Don Chambers,,
347,Muthuvel Chelliah,,male,,,,M. Chelliah,M. Chelliah,Muthuvel Chelliah,Muthuvel Chelliah,,
348,Maria P. Chidichimo,,female,,,,M. P. Chidichimo,M. Chidichimo,Maria P. Chidichimo,Maria Chidichimo,,
349,H. Christiansen,,female,,,,H. Christiansen,H. Christiansen,H. Christiansen,H. Christiansen,,
350,John Christy,,male,,,,J. Christy,J. Christy,John Christy,John Christy,,
351,Caio A.S. Coelho,,male,,,,C. A. Coelho,C. Coelho,Caio A. Coelho,Caio Coelho,,
352,Steve Colwell,,male,,,,S. Colwell,S. Colwell,Steve Colwell,Steve Colwell,,
353,Josefino C. Comiso,,male,,,,J. C. Comiso,J. Comiso,Josefino C. Comiso,Josefino Comiso,,
354,Gilbert P. Compo,,male,,,,G. P. Compo,G. Compo,Gilbert P. Compo,Gilbert Compo,,
355,Jake Crouch,,male,,,,J. Crouch,J. Crouch,Jake Crouch,Jake Crouch,,
356,Stuart A. Cunningham,,male,,,,S. A. Cunningham,S. Cunningham,Stuart A. Cunningham,Stuart Cunningham,,
357,Virgen C. Cutié,,male,,,,V. C. Cutié,V. Cutié,Virgen C. Cutié,Virgen Cutié,,
358,Aiguo Dai,,male,,,,A. Dai,A. Dai,Aiguo Dai,Aiguo Dai,,
359,Valentina Davydova-Belitskaya,,female,,,,V. Davydova-Belitskaya,V. Davydova-Belitskaya,Valentina Davydova-Belitskaya,Valentina Davydova-Belitskaya,,
360,Richard De Jeu,,male,,,,R. D. Jeu,R. Jeu,Richard D. Jeu,Richard Jeu,,
361,David Decker,,male,,,,D. Decker,D. Decker,David Decker,David Decker,,
362,Dick Dee,,male,,,,D. Dee,D. Dee,Dick Dee,Dick Dee,,
363,M. Demircan,,male,,,,M. Demircan,M. Demircan,M. Demircan,M. Demircan,,
364,Chris Derksen,,male,,,,C. Derksen,C. Derksen,Chris Derksen,Chris Derksen,,
365,Howard J. Diamond,,male,,,,H. J. Diamond,H. Diamond,Howard J. Diamond,Howard Diamond,,
366,Ed J. Dlugokencky,,male,,,,E. J. Dlugokencky,E. Dlugokencky,Ed J. Dlugokencky,Ed Dlugokencky,,
367,Kathleen Dohan,,female,,,,K. Dohan,K. Dohan,Kathleen Dohan,Kathleen Dohan,,
368,A. Johannes Dolman,,male,,,,A. J. Dolman,A. Dolman,A. J. Dolman,A. Dolman,,
369,Wouter Dorigo,,male,,,,W. Dorigo,W. Dorigo,Wouter Dorigo,Wouter Dorigo,,
370,Dmitry S. Drozdov,,male,,,,D. S. Drozdov,D. Drozdov,Dmitry S. Drozdov,Dmitry Drozdov,,
371,Paul J. Durack,,male,,,,P. J. Durack,P. Durack,Paul J. Durack,Paul Durack,,
372,Geoffrey S. Dutton,,male,,,,G. S. Dutton,G. Dutton,Geoffrey S. Dutton,Geoffrey Dutton,,
373,David Easterling,,male,,,,D. Easterling,D. Easterling,David Easterling,David Easterling,,
374,Ayataka Ebita,,male,,,,A. Ebita,A. Ebita,Ayataka Ebita,Ayataka Ebita,,
375,Jon Eischeid,,male,,,,J. Eischeid,J. Eischeid,Jon Eischeid,Jon Eischeid,,
376,James W. Elkins,,male,,,,J. W. Elkins,J. Elkins,James W. Elkins,James Elkins,,
377,Howard E. Epstein,,male,,,,H. E. Epstein,H. Epstein,Howard E. Epstein,Howard Epstein,,
378,Christian Euscátegui,,male,,,,C. Euscátegui,C. Euscátegui,Christian Euscátegui,Christian Euscátegui,,
379,Eleanor Faijka-Williams,,female,,,,E. Faijka-Williams,E. Faijka-Williams,Eleanor Faijka-Williams,Eleanor Faijka-Williams,,
380,James S. Famiglietti,,male,,,,J. S. Famiglietti,J. Famiglietti,James S. Famiglietti,James Famiglietti,,
381,Rija Faniriantsoa,,male,,,,R. Faniriantsoa,R. Faniriantsoa,Rija Faniriantsoa,Rija Faniriantsoa,,
382,Richard A. Feely,,male,,,,R. A. Feely,R. Feely,Richard A. Feely,Richard Feely,,
383,Balázs M. Fekete,,male,,,,B. M. Fekete,B. Fekete,Balázs M. Fekete,Balázs Fekete,,
384,Chris Fenimore,,male,,,,C. Fenimore,C. Fenimore,Chris Fenimore,Chris Fenimore,,
385,Eric Fields,,male,,,,E. Fields,E. Fields,Eric Fields,Eric Fields,,
386,Vitali E. Fioletov,,male,,,,V. E. Fioletov,V. Fioletov,Vitali E. Fioletov,Vitali Fioletov,,
387,Chris T. Fogarty,,male,,,,C. T. Fogarty,C. Fogarty,Chris T. Fogarty,Chris Fogarty,,
388,Ryan L. Fogt,,male,,,,R. L. Fogt,R. Fogt,Ryan L. Fogt,Ryan Fogt,,
389,B. C. Forbes,,male,,,,B. C. Forbes,B. Forbes,B. C. Forbes,B. Forbes,,
390,Michael J. Foster,,male,,,,M. J. Foster,M. Foster,Michael J. Foster,Michael Foster,,
391,E. Frajka-Williams,,male,,,,E. Frajka-Williams,E. Frajka-Williams,E. Frajka-Williams,E. Frajka-Williams,,
392,Melissa Free,,female,,,,M. Free,M. Free,Melissa Free,Melissa Free,,
393,Julia De Juan,,female,,,,J. D. Juan,J. Juan,Julia D. Juan,Julia Juan,,
394,Pedro Elósegui,,male,,,,P. Elósegui,P. Elósegui,Pedro Elósegui,Pedro Elósegui,,
395,Gordon S. Hamilton,,male,,,,G. S. Hamilton,G. Hamilton,Gordon S. Hamilton,Gordon Hamilton,,
396,Leigh A. Stearns,,female,,,,L. A. Stearns,L. Stearns,Leigh A. Stearns,Leigh Stearns,,
397,Göran Ekström,,male,,,,G. Ekström,G. Ekström,Göran Ekström,Göran Ekström,,
398,Hans F. Jepsen,,male,,,,H. F. Jepsen,H. Jepsen,Hans F. Jepsen,Hans Jepsen,,
399,Sigfús J. Johnsen,,male,,,,S. J. Johnsen,S. Johnsen,Sigfús J. Johnsen,Sigfús Johnsen,,
400,Claus Nielsen,,male,,,,C. Nielsen,C. Nielsen,Claus Nielsen,Claus Nielsen,,
401,Niels Reeh,,male,,,,N. Reeh,N. Reeh,Niels Reeh,Niels Reeh,,
402,Erik L. Christensen,,male,,,,E. L. Christensen,E. Christensen,Erik L. Christensen,Erik Christensen,,
403,F. J. Navarro,,male,,,,F. J. Navarro,F. Navarro,F. J. Navarro,F. Navarro,,
404,J. Otero,,male,,,,J. Otero,J. Otero,J. Otero,J. Otero,,
405,Yu Ya Macheret,,male,,,,Y. Y. Macheret,Y. Macheret,Yu Y. Macheret,Yu Macheret,,
406,E. V. Vasilenko,,male,,,,E. V. Vasilenko,E. Vasilenko,E. V. Vasilenko,E. Vasilenko,,
407,J. J. Lapazaran,,male,,,,J. J. Lapazaran,J. Lapazaran,J. J. Lapazaran,J. Lapazaran,,
408,F. MacHío,,male,,,,F. MacHío,F. MacHío,F. MacHío,F. MacHío,,
409,Sigfus J. Johnsen,,male,,,,S. J. Johnsen,S. Johnsen,Sigfus J. Johnsen,Sigfus Johnsen,,
410,J. De Juan,,male,,,,J. D. Juan,J. Juan,J. D. Juan,J. Juan,,
411,Peter Gravesen,,male,,,,P. Gravesen,P. Gravesen,Peter Gravesen,Peter Gravesen,,
412,Steen Savstrup Kristensen,,male,,,,S. S. Kristensen,S. Kristensen,Steen S. Kristensen,Steen Kristensen,,
413,Erik Lintz Christensen,,male,,,,E. L. Christensen,E. Christensen,Erik L. Christensen,Erik Christensen,,
414,Susanne Hanson,,female,,,,S. Hanson,S. Hanson,Susanne Hanson,Susanne Hanson,,
415,Morten Smelror,,male,,,,M. Smelror,M. Smelror,Morten Smelror,Morten Smelror,,
416,Lena Ekelund,,female,,,,L. Ekelund,L. Ekelund,Lena Ekelund,Lena Ekelund,,
417,Jens Morten Hansen,,male,,,,J. M. Hansen,J. Hansen,Jens M. Hansen,Jens Hansen,,
418,Keijo Nenonen,,male,,,,K. Nenonen,K. Nenonen,Keijo Nenonen,Keijo Nenonen,,
419,Anette K. Mortensen,,female,,,,A. K. Mortensen,A. Mortensen,Anette K. Mortensen,Anette Mortensen,,
420,Christoph Mayer,,male,,,,C. Mayer,C. Mayer,Christoph Mayer,Christoph Mayer,,
421,Carl Egede Bøggild,,male,,,,C. E. Bøggild,C. Bøggild,Carl E. Bøggild,Carl Bøggild,,
422,Johan J. Mohr,,male,,,,J. J. Mohr,J. Mohr,Johan J. Mohr,Johan Mohr,,
423,Roger Le B. Hooke,,male,,,,R. L. B. Hooke,R. Hooke,Roger L. B. Hooke,Roger Hooke,,
424,Peer Jørgensen,,male,,,,P. Jørgensen,P. Jørgensen,Peer Jørgensen,Peer Jørgensen,,
425,C. Egede Boggild,,male,,,,C. E. Boggild,C. Boggild,C. E. Boggild,C. Boggild,,
426,E. Lintz Christensen,,male,,,,E. L. Christensen,E. Christensen,E. L. Christensen,E. Christensen,,
427,K. Keller,,male,,,,K. Keller,K. Keller,K. Keller,K. Keller,,
428,Martijn Kamstra,,male,,,,M. Kamstra,M. Kamstra,Martijn Kamstra,Martijn Kamstra,,
429,Noa Bechor,,female,,,,N. Bechor,N. Bechor,Noa Bechor,Noa Bechor,,
430,Suzanne Bevan,,female,,,,S. Bevan,S. Bevan,Suzanne Bevan,Suzanne Bevan,,
431,Christian Bignami,,male,,,,C. Bignami,C. Bignami,Christian Bignami,Christian Bignami,,
432,Hyung Sup Jung,,male,,,,H. S. Jung,H. Jung,Hyung S. Jung,Hyung Jung,,
433,Adrian Luckman,,male,,,,A. Luckman,A. Luckman,Adrian Luckman,Adrian Luckman,,
434,Julia Neelmeijer,,female,,,,J. Neelmeijer,J. Neelmeijer,Julia Neelmeijer,Julia Neelmeijer,,
435,Kilian Scharrer,,male,,,,K. Scharrer,K. Scharrer,Kilian Scharrer,Kilian Scharrer,,
436,Tazio Strozzi,,male,,,,T. Strozzi,T. Strozzi,Tazio Strozzi,Tazio Strozzi,,
437,Søren Gregersen,,male,,,,S. Gregersen,S. Gregersen,Søren Gregersen,Søren Gregersen,,
438,Ivanka Stajner,,female,,,,I. Stajner,I. Stajner,Ivanka Stajner,Ivanka Stajner,,
439,Krzysztof Wargan,,male,,,,K. Wargan,K. Wargan,Krzysztof Wargan,Krzysztof Wargan,,
440,Steven Pawson,,male,,,,S. Pawson,S. Pawson,Steven Pawson,Steven Pawson,,
441,Hiroo Hayashi,,male,,,,H. Hayashi,H. Hayashi,Hiroo Hayashi,Hiroo Hayashi,,
442,Lang Ping Chang,,male,,,,L. P. Chang,L. Chang,Lang P. Chang,Lang Chang,,
443,Rynda C. Hudman,,male,,,,R. C. Hudman,R. Hudman,Rynda C. Hudman,Rynda Hudman,,
444,Lucien Froidevaux,,male,,,,L. Froidevaux,L. Froidevaux,Lucien Froidevaux,Lucien Froidevaux,,
445,Nathaniel Livesey,,male,,,,N. Livesey,N. Livesey,Nathaniel Livesey,Nathaniel Livesey,,
446,Pieternel F. Levelt,,female,,,,P. F. Levelt,P. Levelt,Pieternel F. Levelt,Pieternel Levelt,,
447,Anne M. Thompson,,female,,,,A. M. Thompson,A. Thompson,Anne M. Thompson,Anne Thompson,,
448,David W. Tarasick,,male,,,,D. W. Tarasick,D. Tarasick,David W. Tarasick,David Tarasick,,
449,René Stübi,,male,,,,R. Stübi,R. Stübi,René Stübi,René Stübi,,
450,Margarita Yela,,female,,,,M. Yela,M. Yela,Margarita Yela,Margarita Yela,,
451,Gert König-Langlo,,male,,,,G. König-Langlo,G. König-Langlo,Gert König-Langlo,Gert König-Langlo,,
452,F. J. Schmidlin,,male,,,,F. J. Schmidlin,F. Schmidlin,F. J. Schmidlin,F. Schmidlin,,
453,Jacquelyn C. Witte,,female,,,,J. C. Witte,J. Witte,Jacquelyn C. Witte,Jacquelyn Witte,,
454,N. R.P. Harris,,male,,,,N. R. Harris,N. Harris,N. R. Harris,N. Harris,,
455,E. Kyrã,,male,,,,E. Kyrã,E. Kyrã,E. Kyrã,E. Kyrã,,
456,J. Staehelin,,male,,,,J. Staehelin,J. Staehelin,J. Staehelin,J. Staehelin,,
457,D. Brunner,,male,,,,D. Brunner,D. Brunner,D. Brunner,D. Brunner,,
458,S. Godin-Beekmann,,male,,,,S. Godin-Beekmann,S. Godin-Beekmann,S. Godin-Beekmann,S. Godin-Beekmann,,
459,S. Dhomse,,male,,,,S. Dhomse,S. Dhomse,S. Dhomse,S. Dhomse,,
460,P. Hadjinicolaou,,male,,,,P. Hadjinicolaou,P. Hadjinicolaou,P. Hadjinicolaou,P. Hadjinicolaou,,
461,G. Hansen,,male,,,,G. Hansen,G. Hansen,G. Hansen,G. Hansen,,
462,I. Isaksen,,male,,,,I. Isaksen,I. Isaksen,I. Isaksen,I. Isaksen,,
463,A. Jrrar,,male,,,,A. Jrrar,A. Jrrar,A. Jrrar,A. Jrrar,,
464,A. Karpetchko,,male,,,,A. Karpetchko,A. Karpetchko,A. Karpetchko,A. Karpetchko,,
465,R. Kivi,,male,,,,R. Kivi,R. Kivi,R. Kivi,R. Kivi,,
466,B. Knudsen,,male,,,,B. Knudsen,B. Knudsen,B. Knudsen,B. Knudsen,,
467,P. Krizan,,male,,,,P. Krizan,P. Krizan,P. Krizan,P. Krizan,,
468,J. Lastovicka,,male,,,,J. Lastovicka,J. Lastovicka,J. Lastovicka,J. Lastovicka,,
469,J. Maeder,,male,,,,J. Maeder,J. Maeder,J. Maeder,J. Maeder,,
470,Y. Orsolini,,male,,,,Y. Orsolini,Y. Orsolini,Y. Orsolini,Y. Orsolini,,
471,J. A. Pyle,,male,,,,J. A. Pyle,J. Pyle,J. A. Pyle,J. Pyle,,
472,M. Rex,,male,,,,M. Rex,M. Rex,M. Rex,M. Rex,,
473,K. Vanicek,,male,,,,K. Vanicek,K. Vanicek,K. Vanicek,K. Vanicek,,
474,M. Weber,,male,,,,M. Weber,M. Weber,M. Weber,M. Weber,,
475,I. Wohltmann,,male,,,,I. Wohltmann,I. Wohltmann,I. Wohltmann,I. Wohltmann,,
476,P. Zanis,,male,,,,P. Zanis,P. Zanis,P. Zanis,P. Zanis,,
477,C. Zerefos,,male,,,,C. Zerefos,C. Zerefos,C. Zerefos,C. Zerefos,,
478,Y. B. Jiang,,male,,,,Y. B. Jiang,Y. Jiang,Y. B. Jiang,Y. Jiang,,
479,A. Lambert,,male,,,,A. Lambert,A. Lambert,A. Lambert,A. Lambert,,
480,N. J. Livesey,,male,,,,N. J. Livesey,N. Livesey,N. J. Livesey,N. Livesey,,
481,W. G. Read,,male,,,,W. G. Read,W. Read,W. G. Read,W. Read,,
482,J. W. Waters,,male,,,,J. W. Waters,J. Waters,J. W. Waters,J. Waters,,
483,B. Bojkov,,male,,,,B. Bojkov,B. Bojkov,B. Bojkov,B. Bojkov,,
484,T. Leblanc,,male,,,,T. Leblanc,T. Leblanc,T. Leblanc,T. Leblanc,,
485,I. S. McDermid,,male,,,,I. S. McDermid,I. McDermid,I. S. McDermid,I. McDermid,,
486,M. J. Filipiak,,male,,,,M. J. Filipiak,M. Filipiak,M. J. Filipiak,M. Filipiak,,
487,R. S. Harwood,,male,,,,R. S. Harwood,R. Harwood,R. S. Harwood,R. Harwood,,
488,R. A. Fuller,,male,,,,R. A. Fuller,R. Fuller,R. A. Fuller,R. Fuller,,
489,W. H. Daffer,,male,,,,W. H. Daffer,W. Daffer,W. H. Daffer,W. Daffer,,
490,B. J. Drouin,,male,,,,B. J. Drouin,B. Drouin,B. J. Drouin,B. Drouin,,
491,R. E. Cofield,,male,,,,R. E. Cofield,R. Cofield,R. E. Cofield,R. Cofield,,
492,D. T. Cuddy,,male,,,,D. T. Cuddy,D. Cuddy,D. T. Cuddy,D. Cuddy,,
493,R. F. Jarnot,,male,,,,R. F. Jarnot,R. Jarnot,R. F. Jarnot,R. Jarnot,,
494,B. W. Knosp,,male,,,,B. W. Knosp,B. Knosp,B. W. Knosp,B. Knosp,,
495,V. S. Perun,,male,,,,V. S. Perun,V. Perun,V. S. Perun,V. Perun,,
496,M. J. Schwartz,,male,,,,M. J. Schwartz,M. Schwartz,M. J. Schwartz,M. Schwartz,,
497,W. V. Snyder,,male,,,,W. V. Snyder,W. Snyder,W. V. Snyder,W. Snyder,,
498,P. C. Stek,,male,,,,P. C. Stek,P. Stek,P. C. Stek,P. Stek,,
499,R. P. Thurstans,,male,,,,R. P. Thurstans,R. Thurstans,R. P. Thurstans,R. Thurstans,,
500,P. A. Wagner,,male,,,,P. A. Wagner,P. Wagner,P. A. Wagner,P. Wagner,,
501,M. Allaart,,male,,,,M. Allaart,M. Allaart,M. Allaart,M. Allaart,,
502,G. Bodeker,,male,,,,G. Bodeker,G. Bodeker,G. Bodeker,G. Bodeker,,
503,B. Calpini,,male,,,,B. Calpini,B. Calpini,B. Calpini,B. Calpini,,
504,H. Claude,,male,,,,H. Claude,H. Claude,H. Claude,H. Claude,,
505,G. Coetzee,,male,,,,G. Coetzee,G. Coetzee,G. Coetzee,G. Coetzee,,
506,J. Davies,,male,,,,J. Davies,J. Davies,J. Davies,J. Davies,,
507,H. De Backer,,male,,,,H. D. Backer,H. Backer,H. D. Backer,H. Backer,,
508,H. Dier,,male,,,,H. Dier,H. Dier,H. Dier,H. Dier,,
509,M. Fujiwara,,male,,,,M. Fujiwara,M. Fujiwara,M. Fujiwara,M. Fujiwara,,
510,B. Johnson,,male,,,,B. Johnson,B. Johnson,B. Johnson,B. Johnson,,
511,H. Kelder,,male,,,,H. Kelder,H. Kelder,H. Kelder,H. Kelder,,
512,N. P. Leme,,male,,,,N. P. Leme,N. Leme,N. P. Leme,N. Leme,,
513,E. Kyro,,male,,,,E. Kyro,E. Kyro,E. Kyro,E. Kyro,,
514,G. Laneve,,male,,,,G. Laneve,G. Laneve,G. Laneve,G. Laneve,,
515,L. S. Fook,,male,,,,L. S. Fook,L. Fook,L. S. Fook,L. Fook,,
